City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,madalena,41.2162,-8.3345,285.54,94,4,0.9,PT,1746490842
137,inirida,3.8653,-67.9239,297.38,96,34,0.91,CO,1746490843
138,iqaluit,63.7506,-68.5145,265.0,67,100,4.12,CA,1746490844
139,carloforte,39.145,8.3058,290.24,88,100,6.06,IT,1746490845
140,kerikeri,-35.2268,173.9474,290.68,70,99,3.06,NZ,1746490717
141,zalari,53.5584,102.5065,283.31,57,69,0.64,RU,1746490848
142,mejit,10.2753,170.8646,300.42,79,9,9.0,MH,1746490849
143,villa de leyva,5.645,-73.5667,288.43,97,100,1.3,CO,1746490850
144,la libertad,-2.2333,-80.9,298.96,83,75,0.0,EC,1746490851
145,tumayr,25.7039,45.868,296.36,21,0,4.82,SA,1746490852
146,walker,30.7335,-95.5669,290.03,94,100,4.63,US,1746490624
147,yasnyy,51.0333,59.8742,288.8,40,100,4.41,RU,1746490855
148,luba,3.4568,8.5547,300.65,81,87,2.51,GQ,1746490856
149,carnarvon,-24.8667,113.6333,297.15,51,99,6.1,AU,1746490857
150,san luis de la loma,17.2706,-100.8939,301.72,71,84,4.26,MX,1746490858
151,tralee,52.2704,-9.7026,279.5,92,28,0.89,IE,1746490859
152,farafangana,-22.8167,47.8333,294.17,83,100,4.59,MG,1746490860
153,kasongo-lunda,-6.4667,16.8167,294.16,96,100,0.67,CD,1746490862
154,minas de marcona,-15.2119,-75.1103,288.77,76,82,4.53,PE,1746490863
155,barra de santo antonio,-9.4047,-35.5072,299.65,78,35,1.72,BR,1746490864
156,tolanaro,-25.0319,46.9987,293.1,74,80,3.79,MG,1746490865
157,longyearbyen,78.2186,15.6401,268.06,68,75,4.12,SJ,1746490866
158,belyy yar,53.6039,91.3903,283.09,71,0,5.0,RU,1746490869
159,neryungri,56.6709,124.6491,272.81,87,89,2.82,RU,1746490870
160,brookings,44.3114,-96.7984,298.81,30,0,4.12,US,1746490590
161,abadan,30.3392,48.3043,299.12,36,0,4.12,IR,1746490872
162,burang,30.25,81.1667,272.58,85,97,1.59,CN,1746490873
163,matiri,-10.75,34.9,287.94,95,58,1.36,TZ,1746490875
164,wotho,10.1657,166.0102,300.56,79,19,9.42,MH,1746490876
165,touros,-5.1989,-35.4608,299.32,74,12,4.95,BR,1746490877
166,mugia,43.1041,-9.2179,284.21,71,1,9.17,ES,1746490881
167,tannum sands,-23.9504,151.3693,296.34,73,75,5.14,AU,1746490882
168,lompoc,34.6391,-120.4579,292.67,69,0,5.66,US,1746490883
169,marsh harbour,26.5412,-77.0636,298.19,81,33,4.81,BS,1746490884
170,palikir - national government center,6.9248,158.1611,303.62,71,100,6.17,FM,1746490886
171,north platte,41.1239,-100.7654,297.09,37,20,6.17,US,1746490598
172,olyokminsk,60.3736,120.4264,276.82,79,99,0.73,RU,1746490888
173,quellon,-43.1167,-73.6167,282.95,91,100,10.04,CL,1746490889
174,makoua,0.0069,15.6333,295.28,98,100,0.92,CG,1746490890
175,dondo,-19.6094,34.7431,296.88,86,0,2.46,MZ,1746490891
176,caleta de carquin,-11.0925,-77.6267,292.73,84,73,2.64,PE,1746490893
177,qamdo,31.1667,97.2333,273.81,92,100,3.29,CN,1746490894
178,mezhdurechenskiy,59.6,65.9333,282.85,96,92,3.63,RU,1746490895
179,el nido,11.1858,119.3956,303.79,73,86,1.81,PH,1746490896
180,cill airne,52.05,-9.5167,279.13,91,29,1.28,IE,1746490897
181,lebu,-37.6167,-73.65,283.17,78,1,1.62,CL,1746490898
182,ma'rib,15.4591,45.3253,298.91,47,65,3.96,YE,1746490900
183,naze,28.3667,129.4833,296.66,86,88,7.19,JP,1746490663
184,santa barbara,34.7333,-120.0343,291.99,56,0,4.12,US,1746490880
185,chui,-33.6971,-53.4616,289.84,92,100,1.77,UY,1746490903
186,byron bay,-28.65,153.6167,294.13,81,80,2.24,AU,1746490905
187,tazovsky,67.4667,78.7,273.66,100,100,2.56,RU,1746490906
188,al kharijah,25.4514,30.5464,293.81,27,0,3.68,EG,1746490907
189,san pedro pochutla,15.7333,-96.4667,303.99,58,67,3.82,MX,1746490908
190,norton,-17.8833,30.7,282.48,84,0,2.06,ZW,1746490909
191,margaret river,-33.95,115.0667,289.85,74,100,3.67,AU,1746490910
192,nemuro,43.3236,145.575,281.01,79,99,5.22,JP,1746490913
193,vilyuchinsk,52.9306,158.4028,279.3,98,100,0.9,RU,1746490914
194,hamilton,39.1834,-84.5333,287.54,83,75,3.6,US,1746490915
195,port lincoln,-34.7333,135.8667,292.31,75,2,7.16,AU,1746490916
196,tongchuanshi,35.0806,109.0897,289.89,15,82,0.26,CN,1746490917
197,porto novo,6.4965,2.6036,300.53,80,62,3.31,BJ,1746490633
198,smithers,54.7804,-127.1743,285.33,54,100,4.12,CA,1746490920
199,mendoza,-32.8908,-68.8272,288.28,45,1,1.41,AR,1746490530
200,timimoun,29.2639,0.231,298.36,10,0,1.54,DZ,1746490923
201,puerto baquerizo moreno,-0.9,-89.6,297.49,84,22,3.29,EC,1746490924
202,mangrol,21.1167,70.1167,300.72,87,37,6.74,IN,1746490925
203,nongpoh,25.9,91.8833,292.86,78,12,1.61,IN,1746490927
204,fada,7.25,4.0667,297.05,99,93,1.12,NG,1746490928
205,mahalapye,-23.1041,26.8142,286.74,60,0,1.03,BW,1746490929
206,iskateley,67.6803,53.1512,274.3,99,100,5.31,RU,1746490930
207,navan,53.6528,-6.6814,277.72,85,1,0.29,IE,1746490931
208,narimanov,46.6927,47.8498,285.43,95,1,4.21,RU,1746490932
209,argo,37.6333,22.7333,291.9,51,17,2.11,GR,1746490934
210,atafu village,-8.5421,-172.5159,301.72,70,96,3.15,TK,1746490935
211,kinel'-cherkassy,53.4706,51.4743,287.46,60,99,4.49,RU,1746490936
212,nova vicosa,-17.8919,-39.3719,296.92,81,50,5.12,BR,1746490696
213,tobruk,32.0836,23.9764,295.49,35,60,4.53,LY,1746490938
214,mount isa,-20.7333,139.5,298.02,57,17,6.69,AU,1746490939
215,fale old settlement,-9.3852,-171.2468,301.9,70,100,3.88,TK,1746490940
216,tiksi,71.6872,128.8694,262.55,92,100,3.42,RU,1746490700
217,timbuktu,16.7735,-3.0074,306.06,9,20,5.17,ML,1746490943
218,nguigmi,14.2495,13.1092,299.06,13,3,5.08,NE,1746490944
219,hithadhoo,-0.6,73.0833,301.67,75,100,7.35,MV,1746490945
220,jamestown,42.097,-79.2353,288.72,98,75,2.06,US,1746490690
221,stonehaven,56.9637,-2.2118,276.44,96,44,1.34,GB,1746490947
222,santa cruz,-17.8,-63.1667,298.85,83,20,2.57,BO,1746490617
223,malango,-2.9627,119.9001,292.38,99,100,0.92,ID,1746490950
224,rio verde de mato grosso,-18.9181,-54.8442,297.07,60,58,2.29,BR,1746490951
225,ca mau,9.1769,105.15,300.62,84,17,1.56,VN,1746490952
226,wynyard,-41.0,145.7167,289.92,82,95,2.68,AU,1746490953
227,utrik,11.2278,169.8474,300.28,78,36,8.67,MH,1746490955
228,taoudenni,22.6783,-3.9836,306.44,14,38,4.56,ML,1746490956
229,rio preto da eva,-2.6994,-59.6997,297.73,83,21,0.88,BR,1746490700
230,samal,7.0744,125.7083,300.19,94,75,1.54,PH,1746490958
